Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,Material Code,Tx,Quantity,Quantity Unit,rate,SAP DocEntry
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8J1,MARUBENI CORPORATION TRANSPORT INFRASTRU,30212,MD12,MAC5,100011474,R&D-DEC-2023-B8J1,,23-Dec,,,,2,USD,"-58,084.00","-3,212,045.20",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B3AK,MARUBENI CORPORATION *,30212,MD13,MAC6,100011475,R&D-DEC-2023-B3AK,,23-Dec,,,,2,USD,"-1,667.00","-92,185.10",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8BK,MARUBENI CORPORATION *,30212,MD14,MAC7,100011476,R&D-DEC-2023-B8BK,,23-Dec,,,,2,USD,"-3,250.00","-179,725.00",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8CK,MARUBENI CORPORATION *,30212,MD15,MAC8,100011477,R&D-DEC-2023-B8CK,,23-Dec,,,,2,USD,"-1,584.00","-87,595.20",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8EK,MARUBENI CORPORATION *,30212,MD16,MAC9,100011478,R&D-DEC-2023-B8EK,,23-Dec,,,,2,USD,"-51,667.00","-2,857,185.10",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B88K,MARUBENI CORPORATION *,30212,MD17,MAC10,100011479,R&D-DEC-2023-B88K,,23-Dec,,,,2,USD,"-4,167.00","-230,435.10",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B65K,MARUBENI CORPORATION *,30212,MD18,MAC11,100011480,R&D-DEC-2023-B65K,,23-Dec,,,,2,USD,"-2,500.00","-138,250.00",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B2PK,MARUBENI CORPORATION *,30212,MD19,MAC12,100011481,R&D-DEC-2023-B2PK,,23-Dec,,,,2,USD,-834,"-46,120.20",,5,0.0,,55.3,
SUCCESS,H9,20231201,20231201,,SPACE RENTAL,PP227,PIC ASIA-PACIFIC SDN. BHD (PHILIPPINE BR,30211,HB02,ADMI,100010589,SPACE RENTAL FY2023,,BS000346,,,,2,PHP,"-10,056.32","-10,056.32",,5,0.0,,,
SUCCESS,H9,20231201,20231201,,SPACE RENTAL,4Q04P,MCNK JV CORPORATION,30211,HB02,ADMI,100010600,SPACE RENTAL 2023,,FY2023,,,,2,PHP,"-116,665.44","-116,665.44",,5,0.0,,,
SUCCESS,H9,20231201,20231201,,SPACE RENTAL,MW350,MARUBENI CORPORATION -,30211,HB02,ADMI,100010590,SPACE RENTAL 2023,,FY2023,,,,2,PHP,"-58,314.90","-58,314.90",,5,0.0,,,
SUCCESS,H9,20231201,20231201,,FY2023,4Q07H,"MARUBENI AUTO HOLDINGS PHILIPPINES, INC.",30211,HB02,ADMI,100010597,SPACE RENTAL 2023,,RENTAL,,,,2,PHP,"-20,000.00","-20,000.00",,5,0.0,,,
SUCCESS,H9,20231201,20231201,,FY2023,PM175,MARUBENI-ITOCHU STEEL PTE LTD - MANILA B,30211,HB02,ADMI,100010588,SPACE RENTAL,,RENTAL,,,,2,PHP,"-68,852.76","-68,852.76",,5,0.0,,,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B770,MARUBENI CORPORATION PETROCHEMICALS & PL,30212,CA11,CHM1,100011490,R&D COMMISSION,,SERVICE,,,,2,USD,"-2,050.00","-113,365.00",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B7H0,MARUBENI CORPORATION VINYL ALKALI DEPT.,30212,CA12,CHM2,100011491,R&D COMMISSION,,SERVICE,,,,2,USD,"-8,000.00","-442,400.00",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,5H652,ORFFA ADDITIVES B.V. THE NETHERLANDS,30212,CA14,CHM4,100011492,R&D COMMISSION,,SERVICE,,,,2,USD,"-1,666.66","-92,166.30",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,MJ028,MARUBENI PLAX CORP.,30212,CA19,CHM9,100011493,R&D COMMISSION,,SERVICE,,,,2,USD,"-1,416.66","-78,341.30",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B560,MARUBENI CORPORATION COAL DEPT.,30212,CC11,MET2,100011498,R&D COMMISSION,,SERVICE,,,,2,USD,"-1,666.66","-92,166.30",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B910,MARUBENI CORPORATION CEREALS & SUGAR DEP,30212,CF12,FOOD1,100011487,R&D COMMISSION,,SERVICE,,,,2,USD,"-2,500.00","-138,250.00",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B380,MARUBENI CORPORATION MEAT & SEAFOODS DEP,30212,CF15,FOOD2A,100011488,R&D COMMISSION,,SERVICE,,,,2,USD,"-2,500.00","-138,250.00",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B96K,MARUBENI CORPORATION *,30212,CF16,FOOD2B,100011489,R&D COMMISSION,,SERVICE,,,,2,USD,"-7,166.66","-396,316.30",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B690,MARUBENI CORPORATION PULP DEPT.,30212,CJ11,FP1,100011494,R&D COMMISSION,,SERVICE,,,,2,USD,"-5,083.34","-281,108.70",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B58K,MARUBENI CORPORATION *,30212,CJ12,FP2,100011495,R&D COMMISSION,,SERVICE,,,,2,USD,"-18,250.00","-1,009,225.00",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B620,MARUBENI CORPORATION PRECIOUS METALS DEP,30212,CJ13,FP3,100011496,R&D COMMISSION,,SERVICE,,,,2,USD,"-3,916.66","-216,591.30",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B540,MARUBENI CORPORATION PRINTING & PUBLICAT,30212,CJ14,FP4,100011497,R&D COMMISSION,,SERVICE,,,,2,USD,"-7,583.34","-419,358.70",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B7LK,MARUBENI CORPORATION *,30212,CL11,AGR1,100011484,,,SERVICE,,,,2,USD,"-7,083.34","-391,708.70",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B7LK,MARUBENI CORPORATION *,30212,CL11,AGR1,100011486,R&D COMMISSION,,SERVICE,,,,2,USD,"-7,083.34","-391,708.70",,5,0.0,,55.3,
SUCCESS,H9,20231201,20231201,,MONTH/FY23,B2R0,MARUBENI CORPORATION HEALTHCARE & MEDICA,30212,CK01,MEDI LINX,100010599,SERVICE FEE MONTHLY,,SERVICE,,,,2,USD,"-6,833.34","-378,567.04",,5,0.0,,55.4,
SUCCESS,H1,20231211,20231211,20240113.0,PO2305088363,PI069,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100011514,IPI SALES FOR DEC#01,,IBIDEN,,,,2,USD,"-7,687.90","-425,140.87",,5,0.0,,55.3,
SUCCESS,H1,20231212,20231212,20231229.0,R&D_DEC 2023,B3G0,MARUBENI CORPORATION ENERGY & CHEMICAL P,30212,MC11,MAC3,100011524,R&D B3G0_DEC 2023,,R AND D,,,,2,USD,"-7,500.00","-414,750.00",,5,0.0,,55.3,
SUCCESS,H1,20231212,20231212,20240329.0,R&D_DEC 2023,MJ038,MARUBENI PROTECHS CORPORATION,30212,MC11,MAC3,100011525,R&D MJ038_DEC 2023,,R AND D,,,,2,USD,"-2,208.00","-122,102.40",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,20231229.0,BS641,1P029,"SITHE PHILIPPINES HOLDINGS, INC.",30212,MA11,MAC1,100011516,SERV FEE DEC 2023,,SERVICE,,,,2,USD,"-8,916.63","-493,089.64",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,20240112.0,23-Dec,4Q926,TEAM ENERGY CORPORATION -,30212,MA11,MAC1,100011520,DEC SERV FEE TEAM,,SERVICE,,,,2,USD,"-6,666.65","-368,665.75",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,20231229.0,23-Dec,4Q958,SAN ROQUE POWER CORP -,30212,MA11,MAC1,100011518,SERV FEE DEC 2023,,SERVICE,,,,2,USD,"-3,583.33","-198,158.15",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,20231229.0,23-Dec,BM10,MARUBENI CORPORATION *,30212,MA11,MAC1,100011515,R&D DEC 2023,,SERVICE,,,,2,USD,"-31,000.00","-1,714,300.00",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,20240112.0,23-Dec,PT105,TEAM SUAL CORPORATION -,30212,MA11,MAC1,100011519,DEC SERV FEE SUAL,,SERVICE,,,,2,USD,"-10,000.00","-553,000.00",,5,0.0,,55.3,
SUCCESS,H1,20231211,20231211,,3Q FY2023,MW350,MARUBENI CORPORATION -,30212,HB02,ADMI,100011513,SERVICE FEE 3Q,,SRVC FEE,,,,2,PHP,"-55,300.00","-55,300.00",,5,0.0,,,
SUCCESS,H1,20231212,20231212,20231228.0,SERVICE FEE,B3Y0,MARUBENI CORPORATION ENVIRONMENT INFRAST,30212,MB11,MAC2,100011555,SERVICE FEE DEC2023,,DECEMBER,,,,2,USD,"-6,416.67","-354,841.85",,5,0.0,,55.3,
SUCCESS,H1,20231212,20231212,20231229.0,R&D_DEC 2023,B3G0,MARUBENI CORPORATION ENERGY & CHEMICAL P,30212,MC11,MAC3,100011524,R&D B3G0_DEC 2023,,R AND D,,,,2,USD,"-7,500.00","-414,750.00",,5,0.0,,55.3,
SUCCESS,H1,20231212,20231212,20240329.0,R&D_DEC 2023,MJ038,MARUBENI PROTECHS CORPORATION,30212,MC11,MAC3,100011525,R&D MJ038_DEC 2023,,R AND D,,,,2,USD,"-2,208.00","-122,102.40",,5,0.0,,55.3,
SUCCESS,H1,20231213,20231213,,10-12M/2023,B550,MARUBENI CORPORATION PETROLEUM DEPT.-2,30212,CD12,PET2,100011559,R&D-10M-12M/2023,,SERVICE,,,,2,USD,"-55,333.34","-3,079,300.37",,5,0.0,,55.65,
SUCCESS,H1,20231213,20231213,,10-12M/2023,B6G0,MARUBENI CORPORATION LNG PROJECT DEPT.,30212,CD14,PET4,100011560,R&D-10M-12M/2023,,SERVICE,,,,2,USD,"-1,666.68","-92,750.74",,5,0.0,,55.65,
SUCCESS,H1,20231214,20231214,,MIGS_LICFEE,4Q04P,MCNK JV CORPORATION,33323,MB11,MAC2,100011608,migs Lic_fee3Q,,100011608,,,,2,PHP,"-40,685.91","-40,685.91",,5,0.0,,,
SUCCESS,H1,20231214,20231214,,MIGS_LICFEE,4Q608,MARUBENI ASIAN POWER PHILIPPINES CORP,33323,MA11,MAC1,100011607,migs Lic_fee3Q,,MAPPC,,,,2,PHP,"-10,171.48","-10,171.48",,5,0.0,,,
SUCCESS,H1,20231215,20231215,20231229.0,PEAS CLIENTS,6D024,"COLUMBIA GRAIN INTERNATIONAL, LLC",33323,CF16,FOOD2B,100011632,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,-827.24,"-46,366.96",,5,0.0,,56.05,
SUCCESS,H1,20231215,20231215,20231229.0,WHEATCLIENTS,6D024,"COLUMBIA GRAIN INTERNATIONAL, LLC",33323,CF16,FOOD2B,100011631,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,"-1,551.42","-86,957.15",,5,0.0,,56.05,
SUCCESS,H1,20231215,20231215,20231229.0,WHEATCLIENTS,6D024,"COLUMBIA GRAIN INTERNATIONAL, LLC",33323,CF16,FOOD2B,100011634,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,"-1,241.14","-69,565.72",,5,0.0,,56.05,
SUCCESS,H1,20231215,20231215,20231229.0,WHEATCLIENTS,6D024,"COLUMBIA GRAIN INTERNATIONAL, LLC",33323,CF16,FOOD2B,100011636,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,"-1,551.42","-86,957.15",,5,0.0,,56.05,
SUCCESS,H1,20231213,20231213,,10-12M/2023,B550,MARUBENI CORPORATION PETROLEUM DEPT.-2,30212,CD12,PET2,100011559,R&D-10M-12M/2023,,SERVICE,,,,2,USD,"-55,333.34","-3,079,300.37",,5,0.0,,55.65,
SUCCESS,H1,20231213,20231213,,10-12M/2023,B6G0,MARUBENI CORPORATION LNG PROJECT DEPT.,30212,CD14,PET4,100011560,R&D-10M-12M/2023,,SERVICE,,,,2,USD,"-1,666.68","-92,750.74",,5,0.0,,55.65,
SUCCESS,H1,20231214,20231214,,MIGS_LICFEE,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011606,migs Lic_fee3Q,,LRT2,,,,2,PHP,"-10,171.48","-10,171.48",,5,0.0,,,
SUCCESS,H1,20231214,20231214,,MIGS_LICFEE,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011605,migs lic_fee3rdQ,,100011605,,,,2,PHP,"-10,171.48","-10,171.48",,5,0.0,,,
SUCCESS,H1,20231215,20231215,20240112.0,PO2312095142,PI069,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100011637,IPI SALES FOR DEC#02,,IBIDEN,,,,2,USD,"-2,841.20","-159,249.26",,5,0.0,,56.05,
SUCCESS,H1,20231218,20231218,,SEC FEE11M23,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011642,sec_fee 11m2023,,100011642,,,,2,PHP,"-5,384.21","-5,384.21",,5,0.0,,,
SUCCESS,H1,20231218,20231218,,SEC FEE11M23,PM175,MARUBENI-ITOCHU STEEL PTE LTD - MANILA B,33323,HB02,ADMI,100011643,sec_fee 11m2023,,100011643,,,,2,PHP,"-4,909.85","-4,909.85",,5,0.0,,,
SUCCESS,H1,20231218,20231218,20231229.0,MPLAX CLIENT,MJ028,MARUBENI PLAX CORP.,33323,CA19,CHM9,100011644,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,-282.77,"-15,778.58",,5,0.0,,55.8,
SUCCESS,H1,20231218,20231218,20231229.0,CLS CLIENTS,S434V,CLS CORPORATION,33323,CG12,LFS3,100011645,CHRISTMAS GIFTS,,GIFTS,,,,2,USD,-355.1,"-19,814.64",,5,0.0,,55.8,
SUCCESS,H1,20231219,20231219,,MIGS NW12M23,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011664,migs nw 12m2023,,MCMB,,,,2,PHP,"-2,834.91","-2,834.91",,5,0.0,,,
SUCCESS,H1,20231219,20231219,,MIGS NW12M23,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011665,migs nw 12m2023,,LRT2,,,,2,PHP,"-2,834.91","-2,834.91",,5,0.0,,,
